territory,region,population2000,population2010,population2014,population2025,population2050,undernourished,landArea,farmLand2000,farmLand2009,organic,gmo
Territory,Region,2000 Population in 1000s,2010 Population in 1000s,2014 Population in 1000s,2025 Population in 1000s,2050 Population in 1000s,Undernourished (1000's of people in 1990),Land Area (km^2), Farm Land Percent in 2000, Farm Land Percent in 2009,organic,gmo
US-Virginia,USA_SOUTHEAST,7079,8001,8326,9286,11129,91,102279,17,23,0,
US-Washington,USA_MOUNTAIN,5894,6725,7062,7984,9821,84,172119,23,34,0,
US-WestVirginia,USA_SOUTHEAST,1808,1853,1850,1796,1657,30,62259,9,14,0,
US-Wisconsin,USA_NORTHERN_CRESCENT,5364,5687,5758,6150,6740,66,140268,36,37,1,
US-Wyoming,USA_MOUNTAIN,494,564,584,607,663,4,251470,65,75,0,
Uganda,SUB_SAHARAN,23758,33149,37783,53765,101524,3998,199810,63,71,3,0
Ukraine,EUROPE,48746,45647,45002,39569,29959,514,579320,71,71,1,0
United Arab Emirates,MIDDLE_EAST,3050,8329,9086,3468,3709,91,83600,7,5,1,0
United Kingdom,EUROPE,58867,62717,64331,61243,58933,571,241930,70,72,10,0
Uruguay,SOUTH_AMERICA,3321,3374,3420,3871,4249,280,175020,85,85,8,89
Uzbekistan,CENTRAL_ASIA,24518,27740,29470,34203,40513,1026,425400,64,63,0,0
Vanuatu,OCEANIA,185,236,259,342,462,16,12190,14,15,2,0
Venezuela,SOUTH_AMERICA,24481,28996,30694,34775,42152,2781,882050,25,24,0,0
Vietnam,EAST_ASIA,80286,88358,92423,105488,123782,31377,310070,28,33,0,0
Yemen,MIDDLE_EAST,17795,23592,26184,48206,102379,3469,527970,45,44,0,0
Zambia,SUB_SAHARAN,10585,13917,15721,19026,29262,2769,743390,30,32,0,0
Zimbabwe,SUB_SAHARAN,12500,13974,15246,18672,23546,4509,386850,39,42,0,0
